2026-04-02 11:48:48 | INFO     | logger.configurar                   | Logger iniciado → logs\mlb_2026-04-02.log
2026-04-02 11:49:04 | INFO     | main.main                           | =======================================================
2026-04-02 11:49:04 | INFO     | main.main                           | Iniciando análisis de predicciones MLB
2026-04-02 11:49:04 | INFO     | main.main                           | =======================================================
2026-04-02 11:49:04 | INFO     | main.main                           | Cargando stats avanzadas (FIP, wRC+)...
2026-04-02 11:49:04 | INFO     | statcast.cargar_statcast            | Calculando FIP y stats avanzadas via MLB API (2026)...
2026-04-02 11:49:28 | INFO     | statcast.cargar_statcast            | 30 equipos cargados con stats avanzadas.
2026-04-02 11:49:28 | INFO     | main.main                           | Analizando pitchers del día...
2026-04-02 11:49:31 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Kansas City Royals: ERA=4.2 WHIP=1.28 IP=0.0
2026-04-02 11:49:31 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Minnesota Twins: ERA=4.2 WHIP=1.28 IP=0.0
2026-04-02 11:49:34 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Arizona Diamondbacks: ERA=4.2 WHIP=1.28 IP=0.0
2026-04-02 11:49:34 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Atlanta Braves: ERA=4.2 WHIP=1.28 IP=0.0
2026-04-02 11:49:37 | DEBUG    | bullpen.obtener_bullpen             | Bullpen San Francisco Giants: ERA=4.2 WHIP=1.28 IP=0.0
2026-04-02 11:49:37 | DEBUG    | bullpen.obtener_bullpen             | Bullpen New York Mets: ERA=4.2 WHIP=1.28 IP=0.0
2026-04-02 11:49:40 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Chicago White Sox: ERA=4.2 WHIP=1.28 IP=0.0
2026-04-02 11:49:40 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Toronto Blue Jays: ERA=4.2 WHIP=1.28 IP=0.0
2026-04-02 11:49:40 | INFO     | main.main                           | Partidos válidos: 4 / 4
