2026-07-27 12:00:09 | INFO     | logger.configurar                   | Logger iniciado → logs\mlb_2026-07-27.log
2026-07-27 12:00:11 | INFO     | main.main                           | =======================================================
2026-07-27 12:00:11 | INFO     | main.main                           | Iniciando análisis de predicciones MLB
2026-07-27 12:00:11 | INFO     | main.main                           | =======================================================
2026-07-27 12:00:11 | INFO     | main.main                           | Cargando stats avanzadas (FIP, wRC+)...
2026-07-27 12:00:11 | INFO     | statcast.cargar_statcast            | Calculando FIP y stats avanzadas via MLB API (2026)...
2026-07-27 12:00:32 | INFO     | statcast.cargar_statcast            | 30 equipos cargados con stats avanzadas.
2026-07-27 12:00:32 | INFO     | main.main                           | Analizando pitchers del día...
2026-07-27 12:00:34 | DEBUG    | pitching.get_pitcher_stats          | Kumar Rocker: ERA temp=4.13 | ERA últ.3 sal.=5.882 | ERA efectiva=4.831
2026-07-27 12:00:35 | DEBUG    | pitching.get_pitcher_stats          | George Kirby: ERA temp=3.57 | ERA últ.3 sal.=1.8 | ERA efectiva=2.862
2026-07-27 12:00:35 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Texas Rangers: ERA=3.466 WHIP=1.189 IP=571.9 (14 relievers)
2026-07-27 12:00:36 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Seattle Mariners: ERA=3.701 WHIP=1.255 IP=551.5 (18 relievers)
2026-07-27 12:00:37 | DEBUG    | pitching.get_pitcher_stats          | Keider Montero: ERA temp=3.14 | ERA últ.3 sal.=1.885 | ERA efectiva=2.638
2026-07-27 12:00:38 | DEBUG    | pitching.get_pitcher_stats          | Kyle Bradish: ERA temp=3.49 | ERA últ.3 sal.=2.32 | ERA efectiva=3.022
2026-07-27 12:00:39 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Detroit Tigers: ERA=3.701 WHIP=1.254 IP=569.7 (18 relievers)
2026-07-27 12:00:39 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Baltimore Orioles: ERA=4.257 WHIP=1.395 IP=560.5 (22 relievers)
2026-07-27 12:00:41 | DEBUG    | pitching.get_pitcher_stats          | Mitch Keller: ERA temp=4.9 | ERA últ.3 sal.=5.143 | ERA efectiva=4.997
2026-07-27 12:00:42 | DEBUG    | pitching.get_pitcher_stats          | Merrill Kelly: ERA temp=5.12 | ERA últ.3 sal.=2.118 | ERA efectiva=3.919
2026-07-27 12:00:42 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Pittsburgh Pirates: ERA=3.906 WHIP=1.228 IP=436.9 (16 relievers)
2026-07-27 12:00:43 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Arizona Diamondbacks: ERA=4.99 WHIP=1.433 IP=431.4 (22 relievers)
2026-07-27 12:00:44 | DEBUG    | pitching.get_pitcher_stats          | Tyler Phillips: ERA temp=3.52 | ERA últ.3 sal.=3.564 | ERA efectiva=3.538
2026-07-27 12:00:45 | DEBUG    | pitching.get_pitcher_stats          | Zack Wheeler: ERA temp=2.16 | ERA últ.3 sal.=1.35 | ERA efectiva=1.836
2026-07-27 12:00:45 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Miami Marlins: ERA=4.207 WHIP=1.328 IP=626.7 (17 relievers)
2026-07-27 12:00:46 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Philadelphia Phillies: ERA=4.234 WHIP=1.312 IP=478.5 (16 relievers)
2026-07-27 12:00:47 | DEBUG    | pitching.get_pitcher_stats          | Eddy Yean: ERA temp=0.0 | sin salidas recientes
2026-07-27 12:00:48 | DEBUG    | pitching.get_pitcher_stats          | Max Scherzer: ERA temp=10.23 | ERA últ.3 sal.=11.25 | ERA efectiva=10.638
2026-07-27 12:00:48 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Washington Nationals: ERA=5.903 WHIP=1.575 IP=504.2 (19 relievers)
2026-07-27 12:00:49 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Toronto Blue Jays: ERA=3.963 WHIP=1.273 IP=535.7 (18 relievers)
2026-07-27 12:00:50 | DEBUG    | pitching.get_pitcher_stats          | Chase Burns: ERA temp=2.42 | ERA últ.3 sal.=2.812 | ERA efectiva=2.577
2026-07-27 12:00:51 | DEBUG    | pitching.get_pitcher_stats          | Slade Cecconi: ERA temp=4.6 | ERA últ.3 sal.=7.984 | ERA efectiva=5.954
2026-07-27 12:00:52 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Cincinnati Reds: ERA=3.917 WHIP=1.299 IP=530.5 (15 relievers)
2026-07-27 12:00:52 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Cleveland Guardians: ERA=3.314 WHIP=1.208 IP=518.7 (13 relievers)
2026-07-27 12:00:53 | DEBUG    | pitching.get_pitcher_stats          | Zac Thornton: ERA temp=1.93 | ERA últ.3 sal.=0.474 | ERA efectiva=1.358
2026-07-27 12:00:54 | DEBUG    | pitching.get_pitcher_stats          | Martín Pérez: ERA temp=3.38 | ERA últ.3 sal.=5.496 | ERA efectiva=4.226
2026-07-27 12:00:55 | DEBUG    | bullpen.obtener_bullpen             | Bullpen New York Mets: ERA=3.55 WHIP=1.232 IP=591.1 (23 relievers)
2026-07-27 12:00:56 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Atlanta Braves: ERA=3.986 WHIP=1.229 IP=531.3 (18 relievers)
2026-07-27 12:00:57 | DEBUG    | pitching.get_pitcher_stats          | Noah Schultz: ERA temp=6.04 | ERA últ.3 sal.=6.818 | ERA efectiva=6.351
2026-07-27 12:00:58 | DEBUG    | pitching.get_pitcher_stats          | Max Fried: ERA temp=2.97 | ERA últ.3 sal.=5.143 | ERA efectiva=3.839
2026-07-27 12:00:59 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Chicago White Sox: ERA=4.272 WHIP=1.411 IP=627.5 (17 relievers)
2026-07-27 12:00:59 | DEBUG    | bullpen.obtener_bullpen             | Bullpen New York Yankees: ERA=3.943 WHIP=1.255 IP=516.5 (16 relievers)
2026-07-27 12:01:00 | DEBUG    | pitching.get_pitcher_stats          | David Peterson: ERA temp=5.97 | ERA últ.3 sal.=6.875 | ERA efectiva=6.332
2026-07-27 12:01:00 | WARNING  | pitching.analizar_pitchers          | St. Louis Cardinals vs Chicago Cubs — lanzador no confirmado (home: TBD)
2026-07-27 12:01:01 | DEBUG    | bullpen.obtener_bullpen             | Bullpen St. Louis Cardinals: ERA=3.785 WHIP=1.305 IP=537.7 (13 relievers)
2026-07-27 12:01:01 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Chicago Cubs: ERA=3.81 WHIP=1.218 IP=518.2 (20 relievers)
2026-07-27 12:01:02 | DEBUG    | pitching.get_pitcher_stats          | Walbert Ureña: ERA temp=2.78 | ERA últ.3 sal.=1.184 | ERA efectiva=2.142
2026-07-27 12:01:03 | DEBUG    | pitching.get_pitcher_stats          | Tatsuya Imai: ERA temp=5.59 | ERA últ.3 sal.=6.99 | ERA efectiva=6.15
2026-07-27 12:01:04 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Los Angeles Angels: ERA=4.53 WHIP=1.367 IP=558.0 (22 relievers)
2026-07-27 12:01:04 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Houston Astros: ERA=3.463 WHIP=1.17 IP=528.9 (17 relievers)
2026-07-27 12:01:05 | DEBUG    | pitching.get_pitcher_stats          | Jack Perkins: ERA temp=6.75 | ERA últ.3 sal.=8.182 | ERA efectiva=7.323
2026-07-27 12:01:06 | DEBUG    | pitching.get_pitcher_stats          | Payton Tolle: ERA temp=3.31 | ERA últ.3 sal.=3.125 | ERA efectiva=3.236
2026-07-27 12:01:07 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Athletics: ERA=4.487 WHIP=1.423 IP=523.5 (18 relievers)
2026-07-27 12:01:08 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Boston Red Sox: ERA=3.247 WHIP=1.208 IP=529.2 (17 relievers)
2026-07-27 12:01:09 | DEBUG    | pitching.get_pitcher_stats          | Tyler Mahle: ERA temp=5.31 | ERA últ.3 sal.=3.913 | ERA efectiva=4.751
2026-07-27 12:01:10 | DEBUG    | pitching.get_pitcher_stats          | Brandon Sproat: ERA temp=5.09 | ERA últ.3 sal.=4.018 | ERA efectiva=4.661
2026-07-27 12:01:10 | DEBUG    | bullpen.obtener_bullpen             | Bullpen San Francisco Giants: ERA=3.658 WHIP=1.235 IP=519.1 (15 relievers)
2026-07-27 12:01:11 | DEBUG    | bullpen.obtener_bullpen             | Bullpen Milwaukee Brewers: ERA=3.492 WHIP=1.256 IP=633.5 (20 relievers)
2026-07-27 12:01:11 | INFO     | pitching.analizar_pitchers          | Pitchers analizados: 12 partidos.
2026-07-27 12:01:11 | WARNING  | main.main                           | 1 partido(s) excluido(s) por lanzador TBD:
2026-07-27 12:01:11 | WARNING  | main.main                           |   Chicago Cubs @ St. Louis Cardinals (home=TBD, away=David Peterson)
2026-07-27 12:01:11 | INFO     | main.main                           | Partidos válidos: 11 / 12
2026-07-27 12:01:11 | INFO     | main.main                           | Analizando ofensiva...
2026-07-27 12:01:12 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Texas Rangers vsRHP: OPS pond.=0.755 (5/5 con split)
2026-07-27 12:01:14 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Seattle Mariners vsRHP: OPS pond.=0.737 (5/5 con split)
2026-07-27 12:01:14 | DEBUG    | offense.analizar_ofensiva           | OFFENSE Texas Rangers (vsRHP OPS=0.755 R/10=4.5 n_runs=0) | Seattle Mariners (vsRHP OPS=0.737 R/10=4.5 n_runs=0)
2026-07-27 12:01:16 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Detroit Tigers vsRHP: OPS pond.=0.83 (5/5 con split)
2026-07-27 12:01:17 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Baltimore Orioles vsRHP: OPS pond.=0.754 (5/5 con split)
2026-07-27 12:01:17 | DEBUG    | offense.analizar_ofensiva           | OFFENSE Detroit Tigers (vsRHP OPS=0.83 R/10=4.5 n_runs=0) | Baltimore Orioles (vsRHP OPS=0.754 R/10=4.5 n_runs=0)
2026-07-27 12:01:19 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Pittsburgh Pirates vsRHP: OPS pond.=0.852 (5/5 con split)
2026-07-27 12:01:21 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Arizona Diamondbacks vsRHP: OPS pond.=0.716 (5/5 con split)
2026-07-27 12:01:21 | DEBUG    | offense.analizar_ofensiva           | OFFENSE Pittsburgh Pirates (vsRHP OPS=0.852 R/10=4.5 n_runs=0) | Arizona Diamondbacks (vsRHP OPS=0.716 R/10=4.5 n_runs=0)
2026-07-27 12:01:23 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Miami Marlins vsRHP: OPS pond.=0.774 (5/5 con split)
2026-07-27 12:01:24 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Philadelphia Phillies vsRHP: OPS pond.=0.813 (5/5 con split)
2026-07-27 12:01:24 | DEBUG    | offense.analizar_ofensiva           | OFFENSE Miami Marlins (vsRHP OPS=0.774 R/10=4.5 n_runs=0) | Philadelphia Phillies (vsRHP OPS=0.813 R/10=4.5 n_runs=0)
2026-07-27 12:01:26 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Washington Nationals vsRHP: OPS pond.=0.863 (5/5 con split)
2026-07-27 12:01:28 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Toronto Blue Jays vsRHP: OPS pond.=0.704 (5/5 con split)
2026-07-27 12:01:28 | DEBUG    | offense.analizar_ofensiva           | OFFENSE Washington Nationals (vsRHP OPS=0.863 R/10=4.5 n_runs=0) | Toronto Blue Jays (vsRHP OPS=0.704 R/10=4.5 n_runs=0)
2026-07-27 12:01:31 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Cincinnati Reds vsRHP: OPS pond.=0.726 (5/5 con split)
2026-07-27 12:01:34 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Cleveland Guardians vsRHP: OPS pond.=0.705 (5/5 con split)
2026-07-27 12:01:34 | DEBUG    | offense.analizar_ofensiva           | OFFENSE Cincinnati Reds (vsRHP OPS=0.726 R/10=4.5 n_runs=0) | Cleveland Guardians (vsRHP OPS=0.705 R/10=4.5 n_runs=0)
2026-07-27 12:01:36 | DEBUG    | offense.obtener_stats_ofensivas     | Offense New York Mets vsLHP: OPS pond.=0.672 (5/5 con split)
2026-07-27 12:01:39 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Atlanta Braves vsLHP: OPS pond.=0.743 (5/5 con split)
2026-07-27 12:01:39 | DEBUG    | offense.analizar_ofensiva           | OFFENSE New York Mets (vsLHP OPS=0.672 R/10=4.5 n_runs=0) | Atlanta Braves (vsLHP OPS=0.743 R/10=4.5 n_runs=0)
2026-07-27 12:01:41 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Chicago White Sox vsLHP: OPS pond.=0.754 (5/5 con split)
2026-07-27 12:01:44 | DEBUG    | offense.obtener_stats_ofensivas     | Offense New York Yankees vsLHP: OPS pond.=0.712 (5/5 con split)
2026-07-27 12:01:44 | DEBUG    | offense.analizar_ofensiva           | OFFENSE Chicago White Sox (vsLHP OPS=0.754 R/10=4.5 n_runs=0) | New York Yankees (vsLHP OPS=0.712 R/10=4.5 n_runs=0)
2026-07-27 12:01:46 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Los Angeles Angels vsRHP: OPS pond.=0.725 (5/5 con split)
2026-07-27 12:01:48 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Houston Astros vsRHP: OPS pond.=0.817 (5/5 con split)
2026-07-27 12:01:48 | DEBUG    | offense.analizar_ofensiva           | OFFENSE Los Angeles Angels (vsRHP OPS=0.725 R/10=4.5 n_runs=0) | Houston Astros (vsRHP OPS=0.817 R/10=4.5 n_runs=0)
2026-07-27 12:01:49 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Athletics vsLHP: OPS pond.=0.726 (5/5 con split)
2026-07-27 12:01:51 | DEBUG    | offense.obtener_stats_ofensivas     | Offense Boston Red Sox vsRHP: OPS pond.=0.72 (5/5 con split)
2026-07-27 12:01:51 | DEBUG    | offense.analizar_ofensiva           | OFFENSE Athletics (vsLHP OPS=0.726 R/10=4.5 n_runs=0) | Boston Red Sox (vsRHP OPS=0.72 R/10=4.5 n_runs=0)
2026-07-27 12:01:52 | DEBUG    | offense.obtener_stats_ofensivas     | Offense San Francisco Giants vsRHP: OPS pond.=0.806 (5/5 con split)
