mercado,ev_umbral,n,wins,hit_rate_%,roi_%,ganancia_u
ML,0,47,18,38.3,-24.21,-11.38
ML,3,47,18,38.3,-24.21,-11.38
ML,5,47,18,38.3,-24.21,-11.38
ML,7,47,18,38.3,-24.21,-11.38
ML,10,47,18,38.3,-24.21,-11.38
ML,15,45,18,40.0,-20.84,-9.38
ML,20,41,17,41.5,-17.49,-7.17
ML,30,31,13,41.9,-16.0,-4.96
RL,0,14,5,35.7,-27.0,-3.78
RL,3,14,5,35.7,-27.0,-3.78
RL,5,14,5,35.7,-27.0,-3.78
RL,7,14,5,35.7,-27.0,-3.78
RL,10,14,5,35.7,-27.0,-3.78
RL,15,12,5,41.7,-14.83,-1.78
RL,20,12,5,41.7,-14.83,-1.78
RL,30,9,3,33.3,-32.78,-2.95
TOTAL,0,56,33,58.9,16.96,9.5
TOTAL,3,52,29,55.8,10.9,5.67
TOTAL,5,52,29,55.8,10.9,5.67
TOTAL,7,52,29,55.8,10.9,5.67
TOTAL,10,51,28,54.9,9.25,4.72
TOTAL,15,47,28,59.6,18.55,8.72
TOTAL,20,42,24,57.1,14.12,5.93
TOTAL,30,31,17,54.8,9.55,2.96
