fecha,juego,mercado,seleccion,resultado,stake_pct,stake_amount,profit_amount,bankroll_before,bankroll_after,drawdown_pct
30/03/2026,Texas Rangers @ Baltimore Orioles,ML,Baltimore Orioles,lose,1,10.0,-10.0,1000.0,990.0,-1.0
30/03/2026,New York Mets @ St. Louis Cardinals,ML,St. Louis Cardinals,lose,1,9.9,-9.9,990.0,980.1,-1.99
30/03/2026,San Francisco Giants @ San Diego Padres,ML,San Diego Padres,lose,1,9.8,-9.8,980.1,970.3,-2.97
31/03/2026,Pittsburgh Pirates @ Cincinnati Reds,TOTAL,Over 7.5,win,1,9.7,9.7,970.3,980.0,-2.0
31/03/2026,Chicago White Sox @ Miami Marlins,TOTAL,Over 7.5,win,1,9.8,9.31,980.0,989.31,-1.07
31/03/2026,Athletics @ Atlanta Braves,RL,Atlanta Braves,win,1,9.89,10.38,989.31,999.69,-0.03
31/03/2026,Los Angeles Angels @ Chicago Cubs,TOTAL,Over 6.5,lose,1,10.0,-10.0,999.69,989.69,-1.03
31/03/2026,Tampa Bay Rays @ Milwaukee Brewers,TOTAL,Over 7.0,win,1,9.9,9.4,989.69,999.09,-0.09
31/03/2026,Boston Red Sox @ Houston Astros,TOTAL,Over 7.0,win,1,9.99,10.19,999.09,1009.28,0.0
31/03/2026,San Francisco Giants @ San Diego Padres,TOTAL,Over 8.0,win,1,10.09,9.59,1009.28,1018.87,0.0
31/03/2026,New York Yankees @ Seattle Mariners,ML,Seattle Mariners,lose,1,10.19,-10.19,1018.87,1008.68,-1.0
01/04/2026,Detroit Tigers @ Arizona Diamondbacks,TOTAL,Under 9.0,win,1,10.09,10.19,1008.68,1018.87,0.0
01/04/2026,Minnesota Twins @ Kansas City Royals,TOTAL,Under 9.5,lose,1,10.19,-10.19,1018.87,1008.68,-1.0
02/04/2026,Minnesota Twins @ Kansas City Royals,RL,Kansas City Royals,lose,1,10.09,-10.09,1008.68,998.59,-1.99
02/04/2026,Atlanta Braves @ Arizona Diamondbacks,ML,Arizona Diamondbacks,lose,1,9.99,-9.99,998.59,988.6,-2.97
02/04/2026,New York Mets @ San Francisco Giants,ML,San Francisco Giants,win,1,9.89,10.78,988.6,999.38,-1.91
03/04/2026,Los Angeles Dodgers @ Washington Nationals,TOTAL,Over 9.5,win,1,9.99,9.49,999.38,1008.87,-0.98
03/04/2026,St. Louis Cardinals @ Detroit Tigers,TOTAL,Under 8.5,win,1,10.09,9.18,1008.87,1018.05,-0.08
03/04/2026,San Diego Padres @ Boston Red Sox,ML,Boston Red Sox,win,1,10.18,8.55,1018.05,1026.6,0.0
03/04/2026,Toronto Blue Jays @ Chicago White Sox,RL,Chicago White Sox,win,1,10.27,10.27,1026.6,1036.87,0.0
03/04/2026,Cincinnati Reds @ Texas Rangers,TOTAL,Over 8.0,null,1,10.37,0.0,1036.87,1036.87,0.0
03/04/2026,Chicago Cubs @ Cleveland Guardians,ML,Cleveland Guardians,win,1,10.37,10.68,1036.87,1047.55,0.0
03/04/2026,Tampa Bay Rays @ Minnesota Twins,ML,Minnesota Twins,win,1,10.48,9.96,1047.55,1057.51,0.0
03/04/2026,Philadelphia Phillies @ Colorado Rockies,TOTAL,Over 10.5,win,1,10.58,10.05,1057.51,1067.56,0.0
03/04/2026,Seattle Mariners @ Los Angeles Angels,ML,Los Angeles Angels,lose,1,10.68,-10.68,1067.56,1056.88,-1.0
03/04/2026,New York Mets @ San Francisco Giants,ML,San Francisco Giants,lose,1,10.57,-10.57,1056.88,1046.31,-1.99
04/04/2026,St. Louis Cardinals @ Detroit Tigers,TOTAL,Over 7.5,win,1,10.46,10.25,1046.31,1056.56,-1.03
04/04/2026,Milwaukee Brewers @ Kansas City Royals,ML,Kansas City Royals,lose,1,10.57,-10.57,1056.56,1045.99,-2.02
04/04/2026,Milwaukee Brewers @ Kansas City Royals,TOTAL,Over 8.5,win,1,10.46,9.52,1045.99,1055.51,-1.13
04/04/2026,Houston Astros @ Athletics,TOTAL,Over 10.0,win,1,10.56,10.67,1055.51,1066.18,-0.13
04/04/2026,San Diego Padres @ Boston Red Sox,TOTAL,Under 7.5,win,1,10.66,10.13,1066.18,1076.31,0.0
04/04/2026,Cincinnati Reds @ Texas Rangers,RL,Texas Rangers,lose,1,10.76,-10.76,1076.31,1065.55,-1.0
04/04/2026,Tampa Bay Rays @ Minnesota Twins,TOTAL,Over 7.5,win,1,10.66,9.91,1065.55,1075.46,-0.08
04/04/2026,Atlanta Braves @ Arizona Diamondbacks,TOTAL,Under 9.5,win,1,10.75,10.0,1075.46,1085.46,0.0
04/04/2026,Philadelphia Phillies @ Colorado Rockies,TOTAL,Over 10.5,lose,1,10.85,-10.85,1085.46,1074.61,-1.0
04/04/2026,New York Mets @ San Francisco Giants,TOTAL,Under 8.0,lose,1,10.75,-10.75,1074.61,1063.86,-1.99
05/04/2026,Los Angeles Dodgers @ Washington Nationals,RL,Washington Nationals,lose,1,10.64,-10.64,1063.86,1053.22,-2.97
