start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,rl_home_prob,rl_away_prob,linea_total,pick_total,pick_ml,valor_ml,pick_rl,valor_rl,mejor_pick
2025-07-03T16:10:00,Miami Marlins,Minnesota Twins,Eury Pérez,David Festa,4.068,4.95,0.3212,0.6788,0.2106,0.4145,,Sin datos,Sin datos,0,Sin datos,0,Over/Under: Sin datos
2025-07-03T19:10:00,Colorado Rockies,Houston Astros,Kyle Freeland,Brandon Walter,5.265,4.059,0.5899,0.4101,0.4576,0.1845,,Sin datos,Sin datos,0,Sin datos,0,Over/Under: Sin datos
2025-07-03T22:45:00,Washington Nationals,Detroit Tigers,Jake Irvin,Dietrich Enns,2.7,4.761,0.1703,0.8297,0.091,0.5761,,Sin datos,Sin datos,0,Sin datos,0,Over/Under: Sin datos
2025-07-03T23:07:00,Toronto Blue Jays,New York Yankees,Chris Bassitt,Clarke Schmidt,6.012,5.112,0.5454,0.4546,0.4245,0.2332,,Sin datos,Sin datos,0,Sin datos,0,Over/Under: Sin datos
2025-07-03T23:10:00,New York Mets,Milwaukee Brewers,David Peterson,Jose Quintana,5.904,6.138,0.4142,0.5858,0.3053,0.3537,,Sin datos,Sin datos,0,Sin datos,0,Over/Under: Sin datos
2025-07-03T23:15:00,Atlanta Braves,Los Angeles Angels,Bryce Elder,José Soriano,5.652,3.672,0.6849,0.3151,0.558,0.1234,,Sin datos,Sin datos,0,Sin datos,0,Over/Under: Sin datos
2025-07-04T00:05:00,Chicago Cubs,Cleveland Guardians,Cade Horton,Joey Cantillo,5.931,5.265,0.5176,0.4824,0.3977,0.256,,Sin datos,Sin datos,0,Sin datos,0,Over/Under: Sin datos
2025-07-04T01:40:00,Arizona Diamondbacks,San Francisco Giants,Brandon Pfaadt,Robbie Ray,6.588,4.122,0.7229,0.2771,0.6101,0.1093,,Sin datos,Sin datos,0,Sin datos,0,Over/Under: Sin datos
2025-07-04T02:10:00,Seattle Mariners,Kansas City Royals,Logan Evans,Seth Lugo,6.615,6.336,0.4713,0.5287,0.3617,0.3063,,Sin datos,Sin datos,0,Sin datos,0,Over/Under: Sin datos
2025-07-04T02:10:00,Los Angeles Dodgers,Chicago White Sox,Dustin May,Aaron Civale,4.86,4.932,0.4262,0.5738,0.3047,0.321,,Sin datos,Sin datos,0,Sin datos,0,Over/Under: Sin datos
