start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,rl_home_prob,rl_away_prob,linea_total,pick_total,pick_ml,valor_ml,pick_rl,valor_rl,mejor_pick,cuota_home,cuota_away,cuota_total_over,cuota_total_under,cuota_rl_home,cuota_rl_away,kelly_ml,kelly_rl
2025-07-04T15:05:00,Washington Nationals,Boston Red Sox,Michael Soroka,Lucas Giolito,5.706,4.14,0.6313,0.3687,0.5041,0.1611,9.5,Sin ventaja clara,Washington Nationals,23.73,Sin datos,0.0,ML: Washington Nationals,1.96,,1.82,2.0,,,24.72,0.0
2025-07-04T17:05:00,Philadelphia Phillies,Cincinnati Reds,Jesús Luzardo,Andrew Abbott,7.065,5.004,0.6669,0.3331,0.5555,0.1498,8.5,Over,Philadelphia Phillies,4.04,Philadelphia Phillies,18.88,RL: Philadelphia Phillies,1.56,,1.85,1.96,2.14,,7.21,16.56
2025-07-04T18:20:00,Chicago Cubs,St. Louis Cardinals,Colin Rea,Miles Mikolas,4.266,5.283,0.3103,0.6897,0.2046,0.434,10.5,Sin ventaja clara,Sin datos,0.0,Sin datos,0.0,Over/Under: Sin ventaja clara,,,1.82,2.0,,,0.0,0.0
2025-07-04T19:10:00,New York Mets,New York Yankees,Justin Hagenman,Marcus Stroman,2.295,5.085,0.1071,0.8929,0.0513,0.6788,9.0,Under,Sin datos,0.0,Sin datos,0.0,Over/Under: Under,,,1.91,1.91,,,0.0,0.0
2025-07-04T20:10:00,Seattle Mariners,Pittsburgh Pirates,Bryan Woo,Bailey Falter,5.679,6.507,0.3501,0.6499,0.2495,0.4183,7.5,Over,Sin datos,0.0,Sin datos,0.0,Over/Under: Over,,,1.82,2.0,,,0.0,0.0
2025-07-04T22:40:00,San Diego Padres,Texas Rangers,Randy Vásquez,Kumar Rocker,3.753,5.472,0.2304,0.7696,0.141,0.5244,7.5,Over,Sin datos,0.0,Sin datos,0.0,Over/Under: Over,,,1.82,1.93,,,0.0,0.0
2025-07-04T23:07:00,Toronto Blue Jays,Los Angeles Angels,Eric Lauer,Kyle Hendricks,4.806,6.696,0.2388,0.7612,0.1559,0.5392,8.5,Over,Sin datos,0.0,Sin datos,0.0,Over/Under: Over,,,1.74,2.02,,,0.0,0.0
2025-07-04T23:10:00,Cleveland Guardians,Detroit Tigers,Slade Cecconi,Reese Olson,6.336,5.769,0.5045,0.4955,0.3897,0.2732,7.5,Over,Sin datos,0.0,Sin datos,0.0,Over/Under: Over,,,1.74,2.02,,,0.0,0.0
2025-07-04T23:10:00,Miami Marlins,Milwaukee Brewers,Sandy Alcantara,Quinn Priester,5.985,2.799,0.8189,0.1811,0.7122,0.0519,7.5,Over,Miami Marlins,40.03,Miami Marlins,80.9,RL: Miami Marlins,2.1,,1.91,1.82,1.48,,56.38,52.53
2025-07-04T23:15:00,Atlanta Braves,Baltimore Orioles,Spencer Strider,Charlie Morton,3.933,5.526,0.2462,0.7538,0.1539,0.5078,8.5,Sin ventaja clara,Sin datos,0.0,Sin datos,0.0,Over/Under: Sin ventaja clara,,,1.83,1.98,,,0.0,0.0
2025-07-05T00:10:00,Colorado Rockies,Chicago White Sox,Antonio Senzatela,Adrian Houser,7.29,2.979,0.8792,0.1208,0.8033,0.0304,11.0,Sin ventaja clara,Colorado Rockies,77.6,Colorado Rockies,36.56,ML: Colorado Rockies,2.02,,1.85,1.96,1.7,,76.08,52.23
2025-07-05T01:10:00,Los Angeles Dodgers,Houston Astros,Ben Casparius,Lance McCullers Jr.,3.051,5.427,0.1579,0.8421,0.0869,0.6139,9.0,Sin ventaja clara,Sin datos,0.0,Sin datos,0.0,Over/Under: Sin ventaja clara,,,1.91,1.91,,,0.0,0.0
2025-07-05T01:40:00,Arizona Diamondbacks,Kansas City Royals,Eduardo Rodriguez,Kris Bubic,6.975,9.0,0.2575,0.7425,0.1819,0.5095,8.5,Over,Sin datos,0.0,Sin datos,0.0,Over/Under: Over,,,2.0,1.82,,,0.0,0.0
