start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,kelly_ml,kelly_rl
2025-07-08T22:35:00,Baltimore Orioles,New York Mets,Brandon Young,Clay Holmes,6.04,3.47,0.748,0.252,9.5,Sin ventaja clara,Baltimore Orioles,72.83,27.8,Baltimore Orioles,36.17,22.06,ML: Baltimore Orioles,2.31,1.69,1.96,1.94,1.82,2.08,0.5559,0.4411
2025-07-08T22:40:00,Detroit Tigers,Tampa Bay Rays,Jack Flaherty,Ryan Pepiot,6.01,4.77,0.587,0.413,8.0,Over,Detroit Tigers,-2.0,0.0,Detroit Tigers,44.37,15.2,TOTAL: Over,1.67,2.36,2.0,2.0,2.46,1.61,0.0,0.3039
2025-07-08T23:05:00,New York Yankees,Seattle Mariners,Will Warren,Logan Gilbert,5.51,4.77,0.528,0.472,9.5,Sin ventaja clara,Seattle Mariners,4.75,1.94,New York Yankees,24.12,8.93,RL: New York Yankees,1.71,2.22,1.91,1.98,2.35,1.65,0.0389,0.1786
2025-07-08T23:10:00,Boston Red Sox,Colorado Rockies,Brayan Bello,Kyle Freeland,4.1,6.06,0.218,0.782,9.0,Over,Colorado Rockies,179.16,34.86,Colorado Rockies,73.6,30.16,TOTAL: Over,1.34,3.57,1.91,1.98,2.1,2.22,0.6971,0.6033
2025-07-08T23:10:00,Cincinnati Reds,Miami Marlins,Nick Martinez,Eury Pérez,5.4,4.63,0.532,0.468,8.5,Over,Miami Marlins,4.28,1.74,Cincinnati Reds,33.09,11.03,RL: Cincinnati Reds,1.74,2.23,1.86,2.03,2.5,1.61,0.0348,0.2206
2025-07-08T23:40:00,Kansas City Royals,Pittsburgh Pirates,Seth Lugo,Mitch Keller,5.78,6.6,0.352,0.648,8.5,Over,Pittsburgh Pirates,74.97,22.05,Pittsburgh Pirates,17.95,10.94,TOTAL: Over,1.54,2.7,1.91,2.1,2.09,1.82,0.441,0.2188
2025-07-08T23:40:00,Minnesota Twins,Chicago Cubs,Simeon Woods Richardson,Shota Imanaga,6.48,5.33,0.571,0.429,9.0,Over,Minnesota Twins,14.27,7.14,Minnesota Twins,-8.01,0.0,TOTAL: Over,2.0,1.91,2.04,2.0,1.61,2.46,0.1427,0.0
2025-07-08T23:40:00,Chicago White Sox,Toronto Blue Jays,Aaron Civale,Chris Bassitt,5.26,4.35,0.551,0.449,8.5,Over,Chicago White Sox,26.75,10.28,Chicago White Sox,-2.46,0.0,ML: Chicago White Sox,2.3,1.7,2.0,1.92,1.77,2.18,0.2057,0.0
2025-07-08T23:40:00,Milwaukee Brewers,Los Angeles Dodgers,Jacob Misiorowski,Clayton Kershaw,5.96,6.47,0.385,0.615,8.5,Over,Los Angeles Dodgers,2.07,1.57,Los Angeles Dodgers,29.12,13.24,TOTAL: Over,2.42,1.66,1.98,1.91,1.82,2.1,0.0313,0.2647
2025-07-08T23:45:00,St. Louis Cardinals,Washington Nationals,Sonny Gray,Jake Irvin,4.7,5.84,0.305,0.695,6.5,Over,Washington Nationals,1914.42,34.18,Washington Nationals,507.8,32.76,TOTAL: Over,1.02,29.0,8.4,1.18,1.15,8.75,0.6837,0.6552
2025-07-09T00:10:00,Houston Astros,Cleveland Guardians,Hunter Brown,Joey Cantillo,5.59,7.01,0.293,0.707,8.0,Over,Cleveland Guardians,57.05,23.38,Cleveland Guardians,10.36,9.25,TOTAL: Over,1.77,2.22,2.0,1.97,2.58,1.56,0.4677,0.185
2025-07-09T01:38:00,Los Angeles Angels,Texas Rangers,José Soriano,Nathan Eovaldi,7.54,5.4,0.665,0.335,9.0,Over,Los Angeles Angels,42.94,18.67,Los Angeles Angels,13.02,9.3,TOTAL: Over,2.15,1.79,2.02,1.88,1.7,2.3,0.3734,0.186
2025-07-09T01:40:00,San Diego Padres,Arizona Diamondbacks,Nick Pivetta,Merrill Kelly,5.93,6.24,0.406,0.594,1.5,Over,Arizona Diamondbacks,790.8,28.24,Arizona Diamondbacks,1740.98,29.02,TOTAL: Over,1.08,15.0,15.0,1.08,1.02,31.0,0.5649,0.5803
2025-07-09T01:45:00,San Francisco Giants,Philadelphia Phillies,Robbie Ray,Taijuan Walker,5.8,6.63,0.351,0.649,4.5,Over,San Francisco Giants,356.49,14.85,Philadelphia Phillies,33.02,15.72,TOTAL: Over,13.0,1.18,2.35,1.99,4.4,2.05,0.2971,0.3144
2025-07-09T02:05:00,Athletics,Atlanta Braves,Jeffrey Springs,Didier Fuentes,-3.46,5.47,,,12.0,Under,Atlanta Braves,,,Atlanta Braves,,,TOTAL: Under,1.01,34.0,2.05,2.28,3.25,2.14,,
