start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,kelly_ml,kelly_rl,park_factor_usado
2025-07-09T18:10:00,Chicago White Sox,Toronto Blue Jays,Adrian Houser,Eric Lauer,6.62,7.56,0.347,0.653,8.0,Over,Toronto Blue Jays,14.94,9.83,Toronto Blue Jays,46.29,18.67,TOTAL: Over,2.28,1.76,1.96,1.96,1.76,2.24,0.1966,0.3733,1.0
2025-07-09T18:10:00,Milwaukee Brewers,Los Angeles Dodgers,Jose Quintana,Tyler Glasnow,4.95,5.9,0.329,0.671,8.5,Over,Los Angeles Dodgers,14.14,10.1,Los Angeles Dodgers,45.02,19.4,TOTAL: Over,2.34,1.7,1.98,1.91,1.8,2.16,0.202,0.3881,1.0
2025-07-09T19:45:00,San Francisco Giants,Philadelphia Phillies,Justin Verlander,Jesús Luzardo,5.0,4.64,0.481,0.519,8.0,Over,San Francisco Giants,5.25,2.2,Philadelphia Phillies,22.06,8.17,RL: Philadelphia Phillies,2.19,1.77,1.92,1.95,1.7,2.35,0.0441,0.1634,1.0
2025-07-09T21:10:00,Detroit Tigers,Tampa Bay Rays,Reese Olson,Zack Littell,5.85,6.4,0.38,0.62,8.0,Over,Tampa Bay Rays,43.8,16.59,Tampa Bay Rays,-0.21,0.0,TOTAL: Over,1.7,2.32,1.96,1.98,2.5,1.61,0.3318,0.0,1.0
2025-07-09T23:05:00,Baltimore Orioles,New York Mets,Tomoyuki Sugano,David Peterson,6.14,5.0,0.573,0.427,10.0,Over,Baltimore Orioles,37.62,13.44,Baltimore Orioles,7.23,4.15,ML: Baltimore Orioles,2.4,1.65,1.98,1.93,1.87,2.01,0.2687,0.0831,1.0
2025-07-09T23:05:00,New York Yankees,Seattle Mariners,Cam Schlittler,Logan Evans,6.34,4.95,0.601,0.399,9.5,Over,New York Yankees,0.42,0.32,New York Yankees,40.11,15.08,RL: New York Yankees,1.67,2.37,1.93,1.95,2.33,1.67,0.0063,0.3016,1.0
2025-07-09T23:10:00,Boston Red Sox,Colorado Rockies,Lucas Giolito,Antonio Senzatela,3.09,5.71,0.143,0.857,9.0,Sin ventaja clara,Colorado Rockies,216.41,40.22,Colorado Rockies,101.51,37.6,Ninguno,1.33,3.69,1.88,2.03,2.05,2.35,0.8045,0.7519,1.0
2025-07-09T23:10:00,Cincinnati Reds,Miami Marlins,Andrew Abbott,Sandy Alcantara,2.69,7.07,0.053,0.947,9.0,Sin ventaja clara,Miami Marlins,111.08,45.16,Miami Marlins,52.39,42.94,Ninguno,1.74,2.23,2.0,2.03,2.54,1.61,0.9031,0.8589,1.0
2025-07-09T23:40:00,Kansas City Royals,Pittsburgh Pirates,Kris Bubic,Bailey Falter,5.68,6.88,0.314,0.686,8.5,Over,Pittsburgh Pirates,80.43,24.67,Pittsburgh Pirates,24.86,15.16,TOTAL: Over,1.55,2.63,1.98,1.93,2.12,1.82,0.4934,0.3032,1.0
2025-07-09T23:40:00,Minnesota Twins,Chicago Cubs,David Festa,Cade Horton,5.26,4.07,0.588,0.412,9.5,Sin ventaja clara,Minnesota Twins,15.81,8.15,Minnesota Twins,-6.53,0.0,ML: Minnesota Twins,1.97,1.95,2.06,1.87,1.59,2.5,0.163,0.0,1.0
2025-07-09T23:45:00,St. Louis Cardinals,Washington Nationals,Andre Pallante,MacKenzie Gore,6.2,5.31,0.543,0.457,7.5,Over,Washington Nationals,1.0,0.42,St. Louis Cardinals,46.6,13.7,TOTAL: Over,1.78,2.21,2.0,1.97,2.7,1.53,0.0083,0.2741,1.0
2025-07-10T00:10:00,Houston Astros,Cleveland Guardians,Brandon Walter,Slade Cecconi,5.8,5.26,0.503,0.497,7.5,Over,Cleveland Guardians,14.85,5.66,Houston Astros,23.19,8.0,TOTAL: Over,1.69,2.31,2.07,2.0,2.45,1.61,0.1133,0.16,1.0
2025-07-10T01:38:00,Los Angeles Angels,Texas Rangers,Kyle Hendricks,Kumar Rocker,3.78,4.79,0.301,0.699,9.0,Sin ventaja clara,Texas Rangers,33.45,18.38,Texas Rangers,69.78,24.4,Ninguno,2.02,1.91,2.0,2.12,1.63,2.43,0.3675,0.488,1.0
2025-07-10T01:40:00,San Diego Padres,Arizona Diamondbacks,Dylan Cease,Brandon Pfaadt,4.12,4.84,0.34,0.66,8.5,Sin ventaja clara,Arizona Diamondbacks,51.71,19.89,Arizona Diamondbacks,4.88,4.14,Ninguno,1.71,2.3,2.0,2.01,2.58,1.59,0.3978,0.0827,1.0
2025-07-10T02:05:00,Athletics,Atlanta Braves,Mitch Spence,Bryce Elder,3.67,5.35,0.232,0.768,10.5,Under,Atlanta Braves,52.11,26.58,Atlanta Braves,86.68,30.3,TOTAL: Under,1.98,1.98,1.91,2.09,2.8,2.43,0.5317,0.6061,1.0
