start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,kelly_ml,kelly_rl,park_factor_usado
2026-04-24T22:40:00,Cincinnati Reds,Detroit Tigers,Andrew Abbott,Framber Valdez,4.083,6.338,0.1943,0.8057,9.0,Over,14.32,5.0,Detroit Tigers,55.5,5.0,Detroit Tigers,41.52,5.0,ML: Detroit Tigers,2.02,1.93,1.87,2.03,1.72,2.41,5.0,5.0,1.123
2026-04-24T23:05:00,Baltimore Orioles,Boston Red Sox,Brandon Young,Brayan Bello,5.537,3.1,0.7451,0.2549,8.5,Sin ventaja clara,0.0,0.0,Baltimore Orioles,37.84,5.0,Baltimore Orioles,65.13,5.0,ML: Baltimore Orioles,1.85,2.1,2.01,2.0,2.66,2.58,5.0,5.0,1.04
2026-04-24T23:07:00,Toronto Blue Jays,Cleveland Guardians,Max Scherzer,Gavin Williams,3.392,5.782,0.1668,0.8332,8.0,Over,6.6,3.75,Cleveland Guardians,54.14,5.0,Cleveland Guardians,46.69,5.0,ML: Cleveland Guardians,2.08,1.85,1.88,1.99,1.65,2.4,5.0,5.0,0.98
2026-04-24T23:10:00,New York Mets,Colorado Rockies,Freddy Peralta,Michael Lorenzen,5.082,4.116,0.5596,0.4404,7.5,Over,43.25,5.0,Colorado Rockies,23.31,5.0,New York Mets,-8.37,0.0,TOTAL: Over,1.52,2.8,2.05,2.02,2.15,1.79,5.0,0.0,0.988
2026-04-24T23:10:00,Tampa Bay Rays,Minnesota Twins,Drew Rasmussen,Taj Bradley,3.144,3.821,0.3257,0.6743,7.5,Sin ventaja clara,0.0,0.0,Minnesota Twins,51.04,5.0,Minnesota Twins,-41.92,0.0,ML: Minnesota Twins,1.76,2.24,2.05,2.0,2.75,1.56,5.0,0.0,0.91
2026-04-24T23:15:00,Atlanta Braves,Philadelphia Phillies,Grant Holmes,Andrew Painter,5.362,4.112,0.5947,0.4053,9.0,Sin ventaja clara,0.0,0.0,Philadelphia Phillies,-0.7,0.0,Atlanta Braves,7.56,2.86,Ninguno,1.64,2.45,1.97,1.95,2.32,1.71,0.0,2.86,1.071
2026-04-24T23:40:00,Kansas City Royals,Los Angeles Angels,Noah Cameron,Yusei Kikuchi,4.804,5.682,0.3339,0.6661,8.5,Over,42.4,5.0,Los Angeles Angels,31.22,5.0,Los Angeles Angels,7.1,2.29,TOTAL: Over,1.96,1.97,1.98,1.88,2.82,2.55,5.0,2.29,1.03
2026-04-24T23:40:00,Chicago White Sox,Washington Nationals,Bryan Hudson,PJ Poulin,5.898,4.08,0.66,0.34,9.5,Sin ventaja clara,0.0,0.0,Chicago White Sox,20.78,5.0,Chicago White Sox,40.86,5.0,ML: Chicago White Sox,1.83,2.09,2.03,1.85,2.63,2.64,5.0,5.0,1.04
2026-04-24T23:40:00,Milwaukee Brewers,Pittsburgh Pirates,Brandon Woodruff,Paul Skenes,3.596,4.041,0.3645,0.6355,7.0,Sin ventaja clara,0.0,0.0,Pittsburgh Pirates,22.02,5.0,Pittsburgh Pirates,-9.81,0.0,ML: Pittsburgh Pirates,2.0,1.92,1.95,1.94,1.57,2.6,5.0,0.0,0.998
2026-04-25T00:05:00,Texas Rangers,Athletics,Nathan Eovaldi,Luis Severino,6.387,4.561,0.6527,0.3473,8.5,Over,54.89,5.0,Texas Rangers,16.83,5.0,Texas Rangers,38.79,5.0,TOTAL: Over,1.79,2.18,1.97,1.91,2.6,1.57,5.0,5.0,1.122
2026-04-25T00:10:00,Houston Astros,New York Yankees,Lance McCullers Jr.,Will Warren,3.742,6.251,0.1676,0.8324,9.0,Over,2.29,0.0,New York Yankees,40.68,5.0,New York Yankees,28.4,5.0,RL: New York Yankees,2.35,1.69,1.89,2.03,1.83,2.07,5.0,5.0,1.02
2026-04-25T00:15:00,St. Louis Cardinals,Seattle Mariners,Andre Pallante,George Kirby,3.409,4.727,0.2598,0.7402,8.0,Sin ventaja clara,0.0,0.0,Seattle Mariners,27.31,5.0,Seattle Mariners,5.71,2.28,ML: Seattle Mariners,2.26,1.72,1.98,1.95,1.75,2.25,5.0,2.28,0.989
2026-04-25T02:15:00,Los Angeles Dodgers,Chicago Cubs,Emmet Sheehan,Jameson Taillon,5.167,5.265,0.4252,0.5748,9.0,Over,16.59,5.0,Chicago Cubs,36.8,5.0,Chicago Cubs,-45.04,0.0,TOTAL: Over,1.67,2.38,1.96,1.95,2.32,1.67,5.0,0.0,1.02
2026-04-25T02:15:00,San Francisco Giants,Miami Marlins,Adrian Houser,Sandy Alcantara,3.541,4.907,0.2584,0.7416,7.5,Over,18.49,5.0,Miami Marlins,43.87,5.0,Miami Marlins,23.09,5.0,ML: Miami Marlins,2.0,1.94,1.95,1.96,1.56,2.58,5.0,5.0,0.949
