start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,prob_total,prob_total_raw,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,riesgo_estado,riesgo_motivo,odds_event_id,odds_loaded,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,kelly_ml,kelly_rl,park_factor_usado
2026-05-04T21:40:00,Colorado Rockies,New York Mets,Tomoyuki Sugano,Huascar Brazobán,4.11,5.726,0.2481,0.7519,10.5,Sin ventaja clara,0.0,0.0,0.0,0.0,New York Mets,18.32,1.5,New York Mets,5.84,0.99,Ninguno,sin_pick,,80044e6fc3586ebcf9f4df924a6f9519,[],2.22,1.74,2.0,2.03,1.77,2.18,1.5,0.99,1.407
2026-05-04T22:10:00,Detroit Tigers,Boston Red Sox,Tyler Holton,Payton Tolle,4.259,4.349,0.4189,0.5811,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Boston Red Sox,4.94,1.14,Detroit Tigers,5.58,0.57,Ninguno,sin_pick,,42cd2c9d9860ded679366dcdfe136ea7,[],2.06,1.87,1.98,2.0,2.96,2.48,1.14,0.57,0.977
2026-05-04T22:40:00,Tampa Bay Rays,Toronto Blue Jays,Nick Martinez,Eric Lauer,4.691,3.002,0.6649,0.3351,8.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Tampa Bay Rays,13.61,1.5,Tampa Bay Rays,24.68,1.5,Ninguno,sin_pick,,724956d85946d94ae169ea8b4f5299b3,[],1.83,2.14,1.95,1.92,2.72,1.55,1.5,1.5,0.91
2026-05-04T22:40:00,Miami Marlins,Philadelphia Phillies,Janson Junk,Aaron Nola,5.164,3.18,0.6957,0.3043,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Miami Marlins,21.47,1.5,Miami Marlins,50.37,1.5,Ninguno,sin_pick,,a8b6869ab87cab44f73e7d8fe9c435f5,[],1.93,1.98,1.93,1.95,2.85,2.59,1.5,1.5,0.92
2026-05-04T23:05:00,New York Yankees,Baltimore Orioles,Cam Schlittler,Shane Baz,5.633,3.11,0.7531,0.2469,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,New York Yankees,1.32,0.54,New York Yankees,17.61,1.5,Ninguno,sin_pick,,1be0149112c46951b21b30f3277a53dd,[],1.49,2.86,1.95,1.93,2.05,1.95,0.54,1.5,1.092
2026-05-04T23:10:00,Chicago Cubs,Cincinnati Reds,Edward Cabrera,Chase Petty,5.822,4.376,0.6146,0.3854,11.5,Under,1.75,0.0,0.5272,0.5583,Cincinnati Reds,5.93,0.64,Chicago Cubs,-2.81,0.0,Ninguno,sin_pick,,25d5af851ff059eb0a390e1f5908f926,[],1.49,2.86,2.0,1.93,1.95,2.05,0.64,0.0,1.103
2026-05-04T23:40:00,Kansas City Royals,Cleveland Guardians,Michael Wacha,Tanner Bibee,4.06,4.662,0.3531,0.6469,9.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Cleveland Guardians,20.12,1.5,Cleveland Guardians,10.19,1.31,Ninguno,sin_pick,,286159b7ccc29dea1805a4ce6218be0e,[],1.89,2.04,1.89,2.0,2.71,2.55,1.5,1.31,1.04
2026-05-04T23:45:00,St. Louis Cardinals,Milwaukee Brewers,Kyle Leahy,Chad Patrick,3.415,5.357,0.2021,0.7979,9.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Milwaukee Brewers,21.72,1.5,Milwaukee Brewers,17.01,1.5,Ninguno,sin_pick,,6768391de7087c252e7f2dae8ec9bd0b,[],2.18,1.79,1.95,1.93,1.71,2.33,1.5,1.5,1.018
2026-05-05T00:10:00,Houston Astros,Los Angeles Dodgers,Steven Okert,Yoshinobu Yamamoto,4.279,5.51,0.2885,0.7115,9.0,Sin ventaja clara,0.0,0.0,0.0,0.0,Los Angeles Dodgers,4.04,1.5,Los Angeles Dodgers,-10.37,0.0,Ninguno,sin_pick,,29183afced82bafdf09738bf1fa00600,[],2.71,1.53,1.93,2.0,2.08,1.83,1.5,0.0,1.03
2026-05-05T01:38:00,Los Angeles Angels,Chicago White Sox,José Soriano,Davis Martin,3.821,3.514,0.4698,0.5302,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Chicago White Sox,17.29,1.5,Los Angeles Angels,-14.18,0.0,Ninguno,sin_pick,,e07f1907da5ba8bebef841815c5cd9a1,[],1.68,2.4,1.88,2.0,2.4,1.64,1.5,0.0,1.03
2026-05-05T01:40:00,Seattle Mariners,Atlanta Braves,Logan Gilbert,JR Ritchie,3.648,4.316,0.3378,0.6622,7.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Atlanta Braves,30.19,1.0,Atlanta Braves,-24.6,0.0,ML: Atlanta Braves,activo,aprobado,6afb68c3e91d245e69a9eec05286476d,[],1.74,2.23,1.88,2.0,2.55,1.59,1.5,0.0,0.968
2026-05-05T01:45:00,San Francisco Giants,San Diego Padres,Trevor McDonald,Randy Vásquez,3.384,4.101,0.3264,0.6736,8.0,Sin ventaja clara,0.0,0.0,0.0,0.0,San Diego Padres,11.69,1.5,San Diego Padres,-9.17,0.0,Ninguno,sin_pick,,a6a446c7235d0fcd72e04a211f04e87a,[],2.18,1.77,1.93,1.96,1.71,2.26,1.5,0.0,0.958
