start_time,home_team,away_team,home_pitcher,away_pitcher,proj_home,proj_away,prob_home_win,prob_away_win,linea_total,pick_total,valor_total,stake_pct_total,prob_total,prob_total_raw,pick_ml,valor_ml,stake_pct_ml,pick_rl,valor_rl,stake_pct_rl,mejor_pick,riesgo_estado,riesgo_motivo,odds_event_id,odds_loaded,cuota_home,cuota_away,cuota_over,cuota_under,cuota_rl_home,cuota_rl_away,linea_rl_home,linea_rl_away,kelly_ml,kelly_rl,park_factor_usado,venue_usado,temp_efectiva,ajuste_temp
2026-05-06T19:45:00,San Francisco Giants,San Diego Padres,Adrian Houser,Bradgley Rodriguez,2.444,4.884,0.1489,0.8511,5.5,Over,42.6,0.0,0.62,0.7392,San Francisco Giants,38.42,0.96,San Diego Padres,59.66,1.5,Ninguno,sin_pick,,bd85ab302972ab39355e0e7baa91a454,[],9.0,1.75,2.3,1.91,2.57,2.8,1.5,-1.5,0.96,1.5,0.949,Oracle Park,19.9,0.0
2026-05-06T20:07:00,Los Angeles Angels,Chicago White Sox,Walbert Ureña,Noah Schultz,4.698,4.593,0.5156,0.4844,10.5,Under,8.58,0.0,0.5271,0.5491,Chicago White Sox,296.06,1.5,Chicago White Sox,9.04,1.5,Ninguno,sin_pick,,7c30fa11564865dd19f2a9c4a7e9d937,[],1.06,11.5,1.87,2.06,2.18,1.88,-4.5,4.5,1.5,1.5,1.02,Angel Stadium,23.5,0.0
2026-05-06T20:10:00,Seattle Mariners,Atlanta Braves,Bryan Woo,Martín Pérez,3.031,4.94,0.2189,0.7811,4.5,Over,18.42,1.0,0.62,0.8987,Atlanta Braves,106.79,1.5,Atlanta Braves,-1.4,0.0,TOTAL: Over,activo,aprobado,1f8259cdeb29bfd068ffa5cbaea3e8d7,[],1.37,3.4,1.91,2.0,2.29,1.7,-1.5,1.5,1.5,0.0,0.931,T-Mobile Park,15.6,-0.03
2026-05-06T22:40:00,Detroit Tigers,Boston Red Sox,Jack Flaherty,Sonny Gray,4.09,4.942,0.3734,0.6266,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Boston Red Sox,13.14,1.5,Boston Red Sox,17.04,1.5,Ninguno,sin_pick,,4a14bd2383b640b8cf105c59c99fa882,[],1.96,1.94,1.96,1.93,2.89,2.55,-1.5,-1.5,1.5,1.5,0.893,Comerica Park,12.4,-0.06
2026-05-06T22:40:00,Philadelphia Phillies,Athletics,Zack Wheeler,Jeffrey Springs,5.484,3.743,0.7425,0.2575,8.0,Over,4.18,0.0,0.5571,0.5739,Philadelphia Phillies,11.52,1.5,Philadelphia Phillies,11.68,1.5,Ninguno,sin_pick,,8379550b6a949466b56d6ddffad2b2fe,[],1.64,2.45,1.87,2.01,2.29,1.71,-1.5,1.5,1.5,1.5,1.05,Citizens Bank Park,18.5,0.0
2026-05-06T22:40:00,Miami Marlins,Baltimore Orioles,Eury Pérez,Brandon Young,4.459,3.894,0.5886,0.4114,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,Miami Marlins,2.75,0.7,Miami Marlins,-2.58,0.0,Ninguno,sin_pick,,7dd3ac6bd80317fdd884080b8d94dd77,[],1.79,2.16,1.97,1.96,2.63,1.56,-1.5,1.5,0.7,0.0,0.92,loanDepot park,21.0,0.0
2026-05-06T22:45:00,Washington Nationals,Minnesota Twins,Miles Mikolas,Bailey Ober,3.933,7.018,0.1479,0.8521,9.5,Over,18.31,1.0,0.6067,0.6541,Minnesota Twins,29.88,1.5,Minnesota Twins,40.49,1.5,TOTAL: Over,activo,aprobado,50bf885c9e829f1de48161f3ec47e5dc,[],2.1,1.91,1.95,1.92,1.67,2.46,1.5,-1.5,1.5,1.5,0.998,Nationals Park,23.0,0.0
2026-05-06T23:05:00,New York Yankees,Texas Rangers,Will Warren,Nathan Eovaldi,4.963,3.387,0.7337,0.2663,8.5,Sin ventaja clara,0.0,0.0,0.0,0.0,New York Yankees,8.8,1.5,New York Yankees,6.39,1.07,Ninguno,sin_pick,,895be7e0cbc697eeffc1f4c9fb60613b,[],1.6,2.6,1.91,2.0,2.2,1.8,-1.5,1.5,1.5,1.07,1.03,Yankee Stadium,17.3,-0.03
2026-05-06T23:40:00,Chicago Cubs,Cincinnati Reds,Colin Rea,Brady Singer,6.138,4.724,0.6853,0.3147,8.0,Over,17.18,1.0,0.62,0.7555,Chicago Cubs,5.52,1.5,Chicago Cubs,6.61,1.01,Ninguno,descartado,limite_picks_diarios,a524558d8c67f4e0116d63123b26e426,[],1.6,2.52,1.89,1.98,2.31,1.7,-1.5,1.5,1.5,1.01,1.06,Wrigley Field,13.6,-0.03
2026-05-06T23:40:00,Kansas City Royals,Cleveland Guardians,Cole Ragans,Joey Cantillo,4.239,4.881,0.4044,0.5956,7.5,Over,25.86,1.0,0.62,0.69,Cleveland Guardians,20.19,1.5,Cleveland Guardians,-10.68,0.0,TOTAL: Over,activo,aprobado,30d2a93f1ca79f37c19806e74ed1cdab,[],1.75,2.22,2.03,1.88,2.64,1.54,-1.5,1.5,1.5,0.0,0.96,Kauffman Stadium,15.4,-0.03
