fecha,juego,mercado,seleccion,cuota,probabilidad,valor,resultado,ganancia,stake_pct,stake_amount,bankroll_before,bankroll_after,profit_amount,yield_pct,created_at,settled_at
30/03/2026,Texas Rangers @ Baltimore Orioles,ML,Baltimore Orioles,2.12,0.943,100.01,lose,-1.0,1,10.0,1000.0,990.0,-10.0,-100.0,,2026-06-05 14:54:18
30/03/2026,New York Mets @ St. Louis Cardinals,ML,St. Louis Cardinals,2.43,0.858,108.47,lose,-1.0,1,9.9,990.0,980.1,-9.9,-100.0,,2026-06-05 14:54:18
30/03/2026,San Francisco Giants @ San Diego Padres,ML,San Diego Padres,2.22,0.911,102.25,lose,-1.0,1,9.8,980.1,970.3,-9.8,-100.0,,2026-06-05 14:54:18
31/03/2026,Pittsburgh Pirates @ Cincinnati Reds,TOTAL,Over 7.5,2.0,0.0,75.91,win,1.0,1,9.7,970.3,980.0,9.7,100.0,,2026-06-05 14:54:18
31/03/2026,Chicago White Sox @ Miami Marlins,TOTAL,Over 7.5,1.95,0.0,29.95,win,0.95,1,9.8,980.0,989.31,9.31,95.0,,2026-06-05 14:54:18
31/03/2026,Athletics @ Atlanta Braves,RL,Atlanta Braves,2.05,0.0,103.47,win,1.05,1,9.89,989.31,999.69,10.38,104.95,,2026-06-05 14:54:18
31/03/2026,Los Angeles Angels @ Chicago Cubs,TOTAL,Over 6.5,1.95,0.0,63.19,lose,-1.0,1,10.0,999.69,989.69,-10.0,-100.0,,2026-06-05 14:54:18
31/03/2026,Tampa Bay Rays @ Milwaukee Brewers,TOTAL,Over 7.0,1.95,0.0,57.62,win,0.95,1,9.9,989.69,999.09,9.4,94.95,,2026-06-05 14:54:18
31/03/2026,Boston Red Sox @ Houston Astros,TOTAL,Over 7.0,2.02,0.0,83.92,win,1.02,1,9.99,999.09,1009.28,10.19,102.0,,2026-06-05 14:54:18
31/03/2026,San Francisco Giants @ San Diego Padres,TOTAL,Over 8.0,1.95,0.0,17.7,win,0.95,1,10.09,1009.28,1018.87,9.59,95.04,,2026-06-05 14:54:18
31/03/2026,New York Yankees @ Seattle Mariners,ML,Seattle Mariners,1.87,0.912,70.55,lose,-1.0,1,10.19,1018.87,1008.68,-10.19,-100.0,,2026-06-05 14:54:18
01/04/2026,Detroit Tigers @ Arizona Diamondbacks,TOTAL,Under 9.0,2.01,0.52,46.08,win,1.01,1,10.09,1008.68,1018.87,10.19,100.99,,2026-06-05 14:54:18
01/04/2026,Minnesota Twins @ Kansas City Royals,TOTAL,Under 9.5,2.0,0.0,43.32,lose,-1.0,1,10.19,1018.87,1008.68,-10.19,-100.0,,2026-06-05 14:54:18
02/04/2026,Minnesota Twins @ Kansas City Royals,RL,Kansas City Royals,2.3,0.98,125.39,lose,-1.0,1,10.09,1008.68,998.59,-10.09,-100.0,,2026-06-05 14:54:18
02/04/2026,Atlanta Braves @ Arizona Diamondbacks,ML,Arizona Diamondbacks,2.04,0.944,92.52,lose,-1.0,1,9.99,998.59,988.6,-9.99,-100.0,,2026-06-05 14:54:18
02/04/2026,New York Mets @ San Francisco Giants,ML,San Francisco Giants,2.09,0.699,46.09,win,1.09,1,9.89,988.6,999.38,10.78,109.0,,2026-06-05 14:54:18
03/04/2026,Los Angeles Dodgers @ Washington Nationals,TOTAL,Over 9.5,1.95,0.52,57.16,win,0.95,1,9.99,999.38,1008.87,9.49,94.99,,2026-06-05 14:54:18
03/04/2026,St. Louis Cardinals @ Detroit Tigers,TOTAL,Under 8.5,1.91,0.52,34.8,win,0.91,1,10.09,1008.87,1018.05,9.18,90.98,,2026-06-05 14:54:18
03/04/2026,San Diego Padres @ Boston Red Sox,ML,Boston Red Sox,1.84,0.911,67.63,win,0.84,1,10.18,1018.05,1026.6,8.55,83.99,,2026-06-05 14:54:18
03/04/2026,Toronto Blue Jays @ Chicago White Sox,RL,Chicago White Sox,2.0,0.708,41.55,win,1.0,1,10.27,1026.6,1036.87,10.27,100.0,,2026-06-05 14:54:18
03/04/2026,Cincinnati Reds @ Texas Rangers,TOTAL,Over 8.0,1.91,0.52,26.48,null,0.0,1,10.37,1036.87,1036.87,0.0,0.0,,2026-06-05 14:54:18
03/04/2026,Chicago Cubs @ Cleveland Guardians,ML,Cleveland Guardians,2.03,0.666,35.15,win,1.03,1,10.37,1036.87,1047.55,10.68,102.99,,2026-06-05 14:54:18
03/04/2026,Tampa Bay Rays @ Minnesota Twins,ML,Minnesota Twins,1.95,0.82,59.93,win,0.95,1,10.48,1047.55,1057.51,9.96,95.04,,2026-06-05 14:54:18
03/04/2026,Philadelphia Phillies @ Colorado Rockies,TOTAL,Over 10.5,1.95,0.52,36.13,win,0.95,1,10.58,1057.51,1067.56,10.05,94.99,,2026-06-05 14:54:18
03/04/2026,Seattle Mariners @ Los Angeles Angels,ML,Los Angeles Angels,2.41,0.743,79.02,lose,-1.0,1,10.68,1067.56,1056.88,-10.68,-100.0,,2026-06-05 14:54:18
03/04/2026,New York Mets @ San Francisco Giants,ML,San Francisco Giants,2.17,0.541,17.35,lose,-1.0,1,10.57,1056.88,1046.31,-10.57,-100.0,,2026-06-05 14:54:18
04/04/2026,St. Louis Cardinals @ Detroit Tigers,TOTAL,Over 7.5,1.98,0.52,21.81,win,0.98,1,10.46,1046.31,1056.56,10.25,97.99,,2026-06-05 14:54:18
04/04/2026,Milwaukee Brewers @ Kansas City Royals,ML,Kansas City Royals,2.02,0.692,39.7,lose,-1.0,1,10.57,1056.56,1045.99,-10.57,-100.0,,2026-06-05 14:54:18
04/04/2026,Milwaukee Brewers @ Kansas City Royals,TOTAL,Over 8.5,1.91,0.52,31.17,win,0.91,1,10.46,1045.99,1055.51,9.52,91.01,,2026-06-05 14:54:18
04/04/2026,Houston Astros @ Athletics,TOTAL,Over 10.0,2.01,0.52,25.08,win,1.01,1,10.56,1055.51,1066.18,10.67,101.04,,2026-06-05 14:54:18
04/04/2026,San Diego Padres @ Boston Red Sox,TOTAL,Under 7.5,1.95,0.52,7.21,win,0.95,1,10.66,1066.18,1076.31,10.13,95.03,,2026-06-05 14:54:18
04/04/2026,Cincinnati Reds @ Texas Rangers,RL,Texas Rangers,2.48,0.533,32.15,lose,-1.0,1,10.76,1076.31,1065.55,-10.76,-100.0,,2026-06-05 14:54:18
